Merchant Name,Merchant Name,Days Since Signup,Steps Completed,Last Login (days ago),Risk Score,Risk Level,AI Nudge Message,Estimated Time Saved (min)
Maria's Tacos,Restaurant,3.00,2.00,2.00,42.00,Low Risk,Hi Maria's Tacos! 👋 You're making fantastic progress on your DoorDash onboarding – keep up the great work! Your next step is to add some mouth-watering photos of your delicious tacos and other items to truly make your menu shine. ✨,15
Golden Dragon,Restaurant,7.00,1.00,5.00,69.00,Medium Risk,"Hi Golden Dragon, great to see you've already started your DoorDash onboarding journey – fantastic progress getting 20% of the way there! 👋 The next exciting step is to upload your delicious menu, and once that's done, you'll be one step closer to delighting customers! ✨",15
Fresh Market Co,Grocery,1.00,5.00,0.00,2.00,Low Risk,"Fantastic job, Fresh Market Co – you've officially completed all 5 onboarding steps! 🎉 Your store is almost ready to go live on DoorDash; just one final verification is needed to get you started! ✨",15
Pizza Palace,Restaurant,14.00,3.00,7.00,69.00,Medium Risk,"Fantastic progress, Pizza Palace! ✨ You're already 60% through your onboarding (3 of 5 steps done!) and just a few clicks away from going live. Your next step is to set your business hours so customers can start ordering those delicious pizzas soon! 🍕",15
Corner Store 24/7,Convenience,2.00,4.00,1.00,17.00,Low Risk,"Hi Corner Store 24/7! You're doing amazing with onboarding and are just one step away from going live – almost there with 4 out of 5 steps complete! 👋 To get your store ready to receive orders, your next quick step is to simply verify your bank information. ✨",15
Bella Italia,Restaurant,21.00,2.00,14.00,114.00,High Risk,Hey Bella Italia! 👋 Great job on hitting 40% completion with your onboarding – you're doing fantastic! Your next step is to add beautiful photos of your delicious items to really make your menu shine for customers! ✨,15
Green Leaf Cafe,Restaurant,5.00,3.00,3.00,39.00,Low Risk,Hi Green Leaf Cafe! 👋 You're doing great with your onboarding and almost ready to start taking orders! Your next step is to set your business hours so hungry customers know when they can enjoy your delicious menu! ⏰,15
Tech Gadgets Plus,Retail,10.00,0.00,8.00,94.00,High Risk,Hi Tech Gadgets Plus! 👋 We're so excited to help you start delivering your amazing gadgets! Your very first step is to quickly verify your business information – let's get you one step closer to launching your store with DoorDash! ✨,15
Sunrise Bakery,Restaurant,4.00,4.00,2.00,24.00,Low Risk,"Wow, Sunrise Bakery, you're almost ready to go live – 80% done with onboarding! 🎉 Just one more step: please verify your bank information so we can get your delicious treats to customers very soon!",15
Metro Pharmacy,Retail,28.00,1.00,21.00,159.00,High Risk,"Hi Metro Pharmacy! 👋 It's fantastic to see you've completed your first step towards launching on DoorDash. To keep that amazing momentum going, your next step is to upload your menu – we can't wait to help you connect with customers soon! ✨",15
Taco Express,Restaurant,6.00,5.00,1.00,15.00,Low Risk,"Fantastic work, Taco Express! 🎉 You've officially completed all 5 onboarding steps and are so close to going live on DoorDash! Just one quick final verification stands between you and hungry customers – let's get it done! 🌮",15
Organic Foods Hub,Grocery,15.00,2.00,10.00,90.00,High Risk,"👋 Hi Organic Foods Hub! You're making fantastic progress with 40% of your DoorDash onboarding complete – way to go! Your next step is to add beautiful photos of your organic items, which really helps customers visualize and discover everything wonderful you offer ✨.",15
Burger Kingdom,Restaurant,8.00,3.00,4.00,48.00,Low Risk,"Hey Burger Kingdom, great job on your DoorDash onboarding – you're making fantastic progress! To keep that momentum going and get ready for hungry customers, your next step is to quickly set your business hours. 🍔⏰",15
Fashion Forward,Retail,12.00,1.00,9.00,91.00,High Risk,"Hi Fashion Forward, great job on your onboarding progress so far – you're well on your way! 👋 To keep that momentum going, your next step is to upload your menu so customers can see your fantastic items! ✨",15
Healthy Bites,Restaurant,2.00,5.00,0.00,4.00,Low Risk,"Fantastic work, Healthy Bites, on crushing all 5 onboarding steps! ✨ You're so close to going live – just complete your final verification, and you'll be ready to start receiving orders!",15
Downtown Deli,Restaurant,18.00,2.00,12.00,102.00,High Risk,"Hi Downtown Deli! You're doing great with your onboarding and are already 40% complete! For your next step, just add some tempting photos of your delicious items – it really helps customers choose you. ✨📸",15
Sports Gear Pro,Retail,9.00,0.00,7.00,89.00,High Risk,Hi Sports Gear Pro! 👋 We're so excited to help you get started and connect with new customers on DoorDash. Your first step is quick and easy: just verify your business information to get your profile ready! 💪,15
Spice Garden,Restaurant,11.00,4.00,5.00,47.00,Low Risk,"Hi Spice Garden team, you're just one step away from launching and delighting DoorDash customers! ✨ To get your delicious food online, simply verify your bank information in your merchant portal.",15
Quick Mart,Convenience,5.00,3.00,2.00,36.00,Low Risk,"Hey Quick Mart 👋, you're doing great with onboarding and are already 60% complete! Your next step is quick and easy: simply set your business hours so customers know when they can grab all their essentials from you ✨.",15
Urban Grocery,Grocery,20.00,1.00,15.00,125.00,High Risk,Hi Urban Grocery! 👋 We're so excited to have you joining DoorDash and you're already 20% through onboarding! Your next step is to upload your menu – let's get those fresh groceries listed for your customers! 🥕✨,15