model_run_id,task_id,merchant_id,generator,prompt_version,model_version,schema_version,input_summary,output_json,validation_result,guardrail_flags,cost_estimate_usd,created_at
MR-T-001-001,T-001,M001,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=2;blocker=photos_needed;risk=42/Low,"{""blocker_summary"": ""Current blocker: photos_needed."", ""draft_body"": ""Hi Maria's Tacos, thanks for getting started on your DoorDash onboarding. Your next step is to add photos of your items. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M001"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""add_photos"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Maria's Tacos has completed 2 of 5 onboarding steps; the current blocker is photos_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-002,T-001,M002,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=1;blocker=menu_upload_needed;risk=69/Medium,"{""blocker_summary"": ""Current blocker: menu_upload_needed."", ""draft_body"": ""Hi Golden Dragon, thanks for getting started on your DoorDash onboarding. Your next step is to upload your menu. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M002"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""upload_menu"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Golden Dragon has completed 1 of 5 onboarding steps; the current blocker is menu_upload_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-003,T-001,M003,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=5;blocker=final_verification_needed;risk=2/Low,"{""blocker_summary"": ""Current blocker: final_verification_needed."", ""draft_body"": ""Hi Fresh Market Co, thanks for getting started on your DoorDash onboarding. Your next step is to complete your final verification. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M003"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""complete_final_verification"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Fresh Market Co has completed 5 of 5 onboarding steps; the current blocker is final_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-004,T-001,M004,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=3;blocker=business_hours_needed;risk=69/Medium,"{""blocker_summary"": ""Current blocker: business_hours_needed."", ""draft_body"": ""Hi Pizza Palace, thanks for getting started on your DoorDash onboarding. Your next step is to set your business hours. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M004"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""set_business_hours"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Pizza Palace has completed 3 of 5 onboarding steps; the current blocker is business_hours_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-005,T-001,M005,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=4;blocker=bank_verification_needed;risk=17/Low,"{""blocker_summary"": ""Current blocker: bank_verification_needed."", ""draft_body"": ""Hi Corner Store 24/7, thanks for getting started on your DoorDash onboarding. Your next step is to verify your bank information. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M005"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""verify_bank"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Corner Store 24/7 has completed 4 of 5 onboarding steps; the current blocker is bank_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-006,T-001,M006,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=2;blocker=photos_needed;risk=114/High,"{""blocker_summary"": ""Current blocker: photos_needed."", ""draft_body"": ""Hi Bella Italia, thanks for getting started on your DoorDash onboarding. Your next step is to add photos of your items. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M006"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""add_photos"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Bella Italia has completed 2 of 5 onboarding steps; the current blocker is photos_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-007,T-001,M007,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=3;blocker=business_hours_needed;risk=39/Low,"{""blocker_summary"": ""Current blocker: business_hours_needed."", ""draft_body"": ""Hi Green Leaf Cafe, thanks for getting started on your DoorDash onboarding. Your next step is to set your business hours. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M007"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""set_business_hours"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Green Leaf Cafe has completed 3 of 5 onboarding steps; the current blocker is business_hours_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-008,T-001,M008,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=0;blocker=business_verification_needed;risk=94/High,"{""blocker_summary"": ""Current blocker: business_verification_needed."", ""draft_body"": ""Hi Tech Gadgets Plus, thanks for getting started on your DoorDash onboarding. Your next step is to verify your business information. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M008"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""verify_business"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Tech Gadgets Plus has completed 0 of 5 onboarding steps; the current blocker is business_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-009,T-001,M009,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=4;blocker=bank_verification_needed;risk=24/Low,"{""blocker_summary"": ""Current blocker: bank_verification_needed."", ""draft_body"": ""Hi Sunrise Bakery, thanks for getting started on your DoorDash onboarding. Your next step is to verify your bank information. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M009"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""verify_bank"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Sunrise Bakery has completed 4 of 5 onboarding steps; the current blocker is bank_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-010,T-001,M010,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=1;blocker=menu_upload_needed;risk=159/High,"{""blocker_summary"": ""Current blocker: menu_upload_needed."", ""draft_body"": ""Hi Metro Pharmacy, thanks for getting started on your DoorDash onboarding. Your next step is to upload your menu. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M010"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""upload_menu"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Metro Pharmacy has completed 1 of 5 onboarding steps; the current blocker is menu_upload_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-011,T-001,M011,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=5;blocker=final_verification_needed;risk=15/Low,"{""blocker_summary"": ""Current blocker: final_verification_needed."", ""draft_body"": ""Hi Taco Express, thanks for getting started on your DoorDash onboarding. Your next step is to complete your final verification. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M011"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""complete_final_verification"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Taco Express has completed 5 of 5 onboarding steps; the current blocker is final_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-012,T-001,M012,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=2;blocker=photos_needed;risk=90/High,"{""blocker_summary"": ""Current blocker: photos_needed."", ""draft_body"": ""Hi Organic Foods Hub, thanks for getting started on your DoorDash onboarding. Your next step is to add photos of your items. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M012"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""add_photos"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Organic Foods Hub has completed 2 of 5 onboarding steps; the current blocker is photos_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-013,T-001,M013,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=3;blocker=business_hours_needed;risk=48/Low,"{""blocker_summary"": ""Current blocker: business_hours_needed."", ""draft_body"": ""Hi Burger Kingdom, thanks for getting started on your DoorDash onboarding. Your next step is to set your business hours. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M013"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""set_business_hours"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Burger Kingdom has completed 3 of 5 onboarding steps; the current blocker is business_hours_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-014,T-001,M014,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=1;blocker=menu_upload_needed;risk=91/High,"{""blocker_summary"": ""Current blocker: menu_upload_needed."", ""draft_body"": ""Hi Fashion Forward, thanks for getting started on your DoorDash onboarding. Your next step is to upload your menu. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M014"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""upload_menu"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Fashion Forward has completed 1 of 5 onboarding steps; the current blocker is menu_upload_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-015,T-001,M015,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=5;blocker=final_verification_needed;risk=4/Low,"{""blocker_summary"": ""Current blocker: final_verification_needed."", ""draft_body"": ""Hi Healthy Bites, thanks for getting started on your DoorDash onboarding. Your next step is to complete your final verification. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M015"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""complete_final_verification"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Healthy Bites has completed 5 of 5 onboarding steps; the current blocker is final_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-016,T-001,M016,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=2;blocker=photos_needed;risk=102/High,"{""blocker_summary"": ""Current blocker: photos_needed."", ""draft_body"": ""Hi Downtown Deli, thanks for getting started on your DoorDash onboarding. Your next step is to add photos of your items. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M016"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""add_photos"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Downtown Deli has completed 2 of 5 onboarding steps; the current blocker is photos_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-017,T-001,M017,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=0;blocker=business_verification_needed;risk=89/High,"{""blocker_summary"": ""Current blocker: business_verification_needed."", ""draft_body"": ""Hi Sports Gear Pro, thanks for getting started on your DoorDash onboarding. Your next step is to verify your business information. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M017"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""verify_business"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Sports Gear Pro has completed 0 of 5 onboarding steps; the current blocker is business_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-018,T-001,M018,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=4;blocker=bank_verification_needed;risk=47/Low,"{""blocker_summary"": ""Current blocker: bank_verification_needed."", ""draft_body"": ""Hi Spice Garden, thanks for getting started on your DoorDash onboarding. Your next step is to verify your bank information. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M018"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""verify_bank"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Spice Garden has completed 4 of 5 onboarding steps; the current blocker is bank_verification_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-019,T-001,M019,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=3;blocker=business_hours_needed;risk=36/Low,"{""blocker_summary"": ""Current blocker: business_hours_needed."", ""draft_body"": ""Hi Quick Mart, thanks for getting started on your DoorDash onboarding. Your next step is to set your business hours. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M019"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""set_business_hours"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Quick Mart has completed 3 of 5 onboarding steps; the current blocker is business_hours_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
MR-T-001-020,T-001,M020,stub,prompt.v1,stub-deterministic.v1,draft.v1,steps=1;blocker=menu_upload_needed;risk=125/High,"{""blocker_summary"": ""Current blocker: menu_upload_needed."", ""draft_body"": ""Hi Urban Grocery, thanks for getting started on your DoorDash onboarding. Your next step is to upload your menu. Reply to this message if you would like a hand."", ""draft_subject"": ""Your next onboarding step with DoorDash"", ""guardrail_flags"": [], ""merchant_id"": ""M020"", ""model_version"": ""stub-deterministic.v1"", ""next_best_action"": ""upload_menu"", ""prompt_version"": ""prompt.v1"", ""risk_explanation"": ""Urban Grocery has completed 1 of 5 onboarding steps; the current blocker is menu_upload_needed."", ""schema_version"": ""draft.v1""}",pass,,0,2026-06-01T00:00:00Z
